Feature
Compare Data
Merge Data
Extract Data
Scale Data
Visualize Data
Document Notebook
Group Data
Split Data
Drop Rows
Remove Data
Cluster Data
Import Data
Train Model
Save Notebook
Sort Data
Replace Column
Fit Data
Export Data
Filter Rows
Run Notebook
Open Notebook
Predict Data
Rename Column
Add Column
Analyze Data
Format Data
Impute Missing Data
Index Data
Pivot Data
Transpose Data
Reshape Data
Encode Categorical Data
Decode Data
Generate Synthetic Data
Handle Outliers
Balance Data
Reduce Dimensions
Optimize Queries
Automate Tasks
Track Changes
